"ResponseId","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q22_6","Q22_7","Q22_8","Q22_9","Q22_10","Q22_11","Q22_12","Q22_13","Q22_14","Q22_15","Q22_16","Q22_17","Q22_18","Q22_19","Q22_20","Q22_21","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q24_9","Q24_10","Q24_11","Q24_12","Q24_13","Q24_14","Q24_15","Q24_16","Q24_17","Q24_18","Q24_19","Q24_20","Q24_21","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q25_11","Q25_12","Q25_13","Q25_14","Q25_15","Q25_16","Q25_17","Q25_18","Q25_19","Q25_20","Q25_21","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q26_10","Q26_11","Q26_12","Q26_13","Q26_14","Q26_15","Q26_16","Q26_17","Q26_18","Q26_19","Q26_20","Q26_21","condition","FSC","age","meanstress"
"R_07Z7dtLzUXGXhhn",1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,"control",4.25,54,4.166666667
"R_10wqwZK8JQtitXd",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,"control",5.25,45,2.666666667
"R_125AJDVwK40olQY",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,"control",5.25,60,1.833333333
"R_12Dscs7zfWWJkgh",2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,"control",5,61,6.333333333
"R_12QQaZiAbibaUCy",1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,"control",5.25,44,5.166666667
"R_12yAdFxSzd54U8e",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,"iva",4,24,5
"R_1CC5JBNvF0Dg8FK",2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"iva",4,40,6.5
"R_1Cg6OKfI0DcEutF",1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,"iva",5,47,5.5
"R_1Cj4hGiDFPijbXr",2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,2,2,"iva",4.25,40,6.166666667
"R_1Cymujz3J9BdlYt",2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,"control",7,71,1.333333333
