Series,Mazur.lnk,Mazur.RMSE,Mazur.BIC,Mazur.AIC,Mazur.BF,Mazur.prob,Mazur.notes,exp.lnk,exp.RMSE,exp.BIC,exp.AIC,exp.BF,exp.prob,exp.notes,BD.beta,BD.delta,BD.RMSE,BD.BIC,BD.AIC,BD.BF,BD.prob,BD.notes,MG.lnk,MG.s,MG.RMSE,MG.BIC,MG.AIC,MG.BF,MG.prob,MG.notes,Rachlin.lnk,Rachlin.s,Rachlin.RMSE,Rachlin.BIC,Rachlin.AIC,Rachlin.BF,Rachlin.prob,Rachlin.notes,Loewenstein-Prelec.lnk,Loewenstein-Prelec.beta,Loewenstein-Prelec.RMSE,Loewenstein-Prelec.BIC,Loewenstein-Prelec.AIC,Loewenstein-Prelec.BF,Loewenstein-Prelec.prob,Loewenstein-Prelec.notes,EbertPrelec.lnk,EbertPrelec.s,EbertPrelec.RMSE,EbertPrelec.BIC,EbertPrelec.AIC,EbertPrelec.BF,EbertPrelec.prob,EbertPrelec.notes,Bleichrodt.lnk,Bleichrodt.s,Bleichrodt.beta,Bleichrodt.RMSE,Bleichrodt.BIC,Bleichrodt.AIC,Bleichrodt.BF,Bleichrodt.prob,Bleichrodt.notes,Parabolic.lnk,Parabolic.RMSE,Parabolic.BIC,Parabolic.AIC,Parabolic.BF,Parabolic.prob,Parabolic.notes,Power.lnk,Power.lns,Power.RMSE,Power.BIC,Power.AIC,Power.BF,Power.prob,Power.notes,noise.mean,noise.RMSE,noise.BIC,noise.AIC,noise.BF,noise.prob,probmodel,probmodel.ED50,probmodel.AUC,probmodel.Log10AUC,delays,values,ResponseId
1,-3.16998,0.304312,7.10116,7.20933,0.000581372,0.000299874,Success: relative step is no more than EpsX,-1.1228,0.350108,9.06378,9.17196,0.000217909,0.000112398,Success: relative step is no more than EpsX,0.44922,0.998977,0.0831164,-9.12232,-8.96005,1.93792,0.999588,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392857,0.104978,-7.79909,-7.69091,1,0.515804,Beta-Delta (f),nan,0.348179,0.415616,"1,4,26,52,156,260,520","0.45,0.45,0.55,0.25,0.45,0.35,0.25",R_2ttnmu9EVmwNBNY
2,3.43402,0.0218516,-29.7718,-29.6636,2.54E-111,2.41E-33,Success: relative step is no more than EpsX,1.30531,0.0231454,-28.9664,-28.8583,1.70E-111,1.61E-33,Success: relative step is no more than EpsX,0.0250001,1,4.16E-07,-179.984,-179.821,1.06E-78,1,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,3.47E-18,-539.079,-538.97,1,9.47E+77,Noise,NA,0.025,0.025,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.025,0.025,0.025",R_2TRgMBoi1uYDAmp
3,-2.38438,0.125831,-5.26247,-5.15429,4791.65,0.0266945,Success: relative step is no more than EpsX,-2.88833,0.0788061,-11.8137,-11.7056,126787,0.706336,Success: relative step is no more than EpsX,1,0.945853,0.0788061,-9.86783,-9.70556,47921,0.26697,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315714,0.422251,11.6868,11.795,1,5.57E-06,Exponential (f),2.88833,0.0327371,0.378331,"1,4,26,52,156,260,520","0.98,0.98,0.15,0.025,0.025,0.025,0.025",R_xfke4LrHBYD03DP
4,-2.39641,0.0890618,-10.101,-9.99281,14836.2,0.545878,Success: relative step is no more than EpsX,-2.85712,0.0957195,-9.09171,-8.98353,8956.97,0.32956,Success: relative step is no more than EpsX,1,0.944185,0.0957195,-7.1458,-6.98353,3385.42,0.124562,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.351233,9.10866,9.21684,1,3.68E-05,Hyperbolic (f),2.39641,0.0802337,0.393782,"1,4,26,52,156,260,520","0.94,0.85,0.15,0.15,0.15,0.15,0.025",R_25sSPqVTYqpdyz2
5,-2.14499,0.063137,-14.9173,-14.8091,78436.3,0.831606,Success: relative step is no more than EpsX,-2.67454,0.0853553,-10.6961,-10.5879,9503.7,0.100761,Success: relative step is no more than EpsX,0.911826,0.94477,0.0786321,-9.89879,-9.73652,6379.1,0.0676332,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307143,0.315865,7.62277,7.73095,1,1.06E-05,Hyperbolic (f),2.14499,0.0660713,0.358085,"1,4,26,52,156,260,520","0.85,0.75,0.15,0.15,0.15,0.075,0.025",R_UL9ohpH3oz24s7v
6,-0.623099,0.173391,-0.773912,-0.665732,35.3917,0.412492,Success: relative step is no more than EpsX,-0.879181,0.166144,-1.37163,-1.26345,47.7193,0.556171,Success: relative step is no more than EpsX,0.535921,0.96208,0.218057,4.38091,4.54318,2.68872,0.0313372,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196429,0.288601,6.35904,6.46722,1,0.0116551,Exponential (f),0.879181,0.00306458,0.108364,"1,4,26,52,156,260,520","0.85,0.025,0.35,0.025,0.075,0.025,0.025",R_3oSYdU4bnQVl5kP
7,-2.89096,0.0742565,-12.6463,-12.5381,129881,0.101125,Success: relative step is no more than EpsX,-3.44443,0.0568954,-16.3746,-16.2664,837821,0.652321,Success: relative step is no more than EpsX,1,0.968581,0.0568954,-14.4287,-14.2664,316667,0.246554,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376429,0.399247,10.9025,11.0107,1,7.79E-07,Exponential (f),3.44443,0.0584607,0.463537,"1,4,26,52,156,260,520","0.98,0.98,0.35,0.25,0.025,0.025,0.025",R_Okvka4pJjBRxtgB
8,2.18639,0.241164,3.84504,3.95322,0.0867884,0.159228,Success: relative step is no more than EpsX,1.30515,0.243853,4.0003,4.10848,0.0803061,0.147335,Success: relative step is no more than EpsX,0.175,1,0.170084,0.902391,1.06466,0.377964,0.693438,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.170084,-1.04352,-0.935339,1,1.83466,Noise,NA,0.175,0.175,"1,4,26,52,156,260,520","0.025,0.25,0.15,0.075,0.025,0.15,0.55",R_2foAE8VsIYVtiKz
9,-4.00809,0.0996826,-8.52374,-8.41556,4146.16,0.894531,Success: relative step is no more than EpsX,-4.77146,0.148662,-2.92814,-2.81996,252.683,0.0545162,Success: relative step is no more than EpsX,0.871968,0.993868,0.130626,-2.79293,-2.63066,236.166,0.0509526,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526429,0.327662,8.13613,8.24431,1,0.00021575,Hyperbolic (f),4.00809,0.246929,0.627693,"1,4,26,52,156,260,520","0.98,0.98,0.55,0.45,0.45,0.25,0.025",R_2e9XvFvN5SiXgDs
10,1.6441,0.0436574,-20.0824,-19.9742,0.756948,0.584353,Success: relative step is no more than EpsX,0.636736,0.0516489,-17.729,-17.6209,0.233368,0.180157,Success: relative step is no more than EpsX,0.18658,0.80026,0.0432593,-18.2647,-18.1025,0.305044,0.23549,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642857,0.0419548,-20.6393,-20.5311,1,0.771987,Noise,NA,0.0642857,0.0642857,"1,4,26,52,156,260,520","0.15,0.075,0.025,0.025,0.075,0.025,0.075",R_2TADrj9qutKMyMK
