"ResponseId","age","FSC","financialstress","mhi","IVA_months","IVA_missed","missed_factor"
"R_2ttnmu9EVmwNBNY",70,2.5,3,5,105,12,"missed"
"R_2TRgMBoi1uYDAmp",42,5.5,7,0,79,5,"missed"
"R_xfke4LrHBYD03DP",57,4,5.66666666666667,0,77,4,"missed"
"R_25sSPqVTYqpdyz2",52,4.5,6.16666666666667,20,77,1,"missed"
"R_UL9ohpH3oz24s7v",56,4,4.33333333333333,55,73,1,"missed"
"R_3oSYdU4bnQVl5kP",42,4.25,5.16666666666667,60,64,0,"not_missed"
"R_Okvka4pJjBRxtgB",63,5.25,5.33333333333333,80,64,0,"not_missed"
"R_2foAE8VsIYVtiKz",44,2.5,4.16666666666667,85,64,0,"not_missed"
"R_2e9XvFvN5SiXgDs",47,4,4.66666666666667,40,48,0,"not_missed"
"R_2TADrj9qutKMyMK",51,4.5,7,50,62,2,"missed"
"R_3r2rQk7aZL5ocNE",40,3.75,3.66666666666667,35,71,0,"not_missed"
"R_2ql90mnN4MLuwTi",59,4.75,6.16666666666667,75,73,1,"missed"
"R_2381PLzySZneAbN",55,3.5,4.66666666666667,55,67,0,"not_missed"
"R_8A0fJHKeAiCbB4d",40,3,4.33333333333333,75,92,0,"not_missed"
"R_yxMBC9DcYg0C0U1",45,5,5.83333333333333,75,80,2,"missed"
"R_3MgScHD2qIOdv8U",49,3.75,7,50,89,0,"not_missed"
"R_1P5mET7pOC9J1WK",56,6,5,60,67,0,"not_missed"
"R_1IWxkIZ5qXOBcJK",31,3.25,5.83333333333333,50,67,0,"not_missed"
"R_32PUMOQy7ueHlpU",54,3.5,5.16666666666667,45,80,0,"not_missed"
"R_2EyhVApZRwTompL",38,7,2.66666666666667,85,72,0,"not_missed"
"R_pSCUlI2uFA41e0N",32,6.5,6.5,85,70,0,"not_missed"
"R_Qg2lKJpkNyUrRol",39,2.5,5.33333333333333,65,70,0,"not_missed"
"R_3oSHFmPcaxwWapP",40,4.5,5.83333333333333,20,68,1,"missed"
"R_22MnfPH2UeAzarF",59,1.75,5.83333333333333,20,46,3,"missed"
"R_1ffL9B1MApUsWr3",44,4,1.5,55,68,2,"missed"
"R_33EKftp7GFLKNey",51,5.25,4.5,55,61,0,"not_missed"
"R_yQOYE7PTsGBpsWt",38,4.25,5.66666666666667,15,42,0,"not_missed"
"R_2RZZDdp84l0bunF",29,5,3.66666666666667,65,61,0,"not_missed"
"R_5oFZ8DQHbLDwAcp",39,2.5,5.33333333333333,5,41,11,"missed"
"R_BGmO9Zt4PuR7UPf",26,4.5,5.66666666666667,75,41,0,"not_missed"
"R_2ruPbhgNnROvGlw",43,4.5,6.83333333333333,55,40,0,"not_missed"
"R_3dQaH7M4iny9N2I",47,4.5,2,90,39,0,"not_missed"
"R_3KwoEr4DUCyAbFi",49,5.25,5.83333333333333,55,39,0,"not_missed"
"R_2rPyk2Bzmo6Ar6M",27,3.5,7,20,38,0,"not_missed"
"R_1pomPT03raLAQPV",56,5.25,6.16666666666667,40,37,0,"not_missed"
"R_V4J7wTP5AEMgPLP",76,4,6.33333333333333,25,31,0,"not_missed"
"R_1EZ0HfBJilIjBlG",55,4.5,5.66666666666667,40,29,2,"missed"
"R_3MrOhwNLTXUwr4N",43,4.25,5.66666666666667,20,29,0,"not_missed"
"R_3k7dP5MxHy1heOl",40,6.25,3.16666666666667,85,28,0,"not_missed"
"R_2ceJzUWOs2aVB2j",34,5.5,4.66666666666667,50,28,0,"not_missed"
"R_2Tz1fjsjYbn43lF",56,3,6.83333333333333,25,28,0,"not_missed"
"R_27wGdb9cQ1XM0uN",46,3.25,6.5,30,28,0,"not_missed"
"R_3qUKzy4vU7a4Eoz",33,4,6.5,45,76,2,"missed"
"R_3GwtKOLb3FCNMTo",36,5.25,6.66666666666667,55,66,0,"not_missed"
"R_PMuWHf8UCK8s7AJ",37,4.25,3.83333333333333,70,49,0,"not_missed"
"R_2dyDh3cFZWC41N0",64,5.25,5.5,70,48,0,"not_missed"
"R_1CpcR6tGhbQrUhu",42,6.5,2.66666666666667,85,63,1,"missed"
"R_1H0GmAFHauiYg5I",77,4,5.5,75,62,1,"missed"
"R_3lLJ2J30oQE3zEv",44,5.75,5.33333333333333,50,62,3,"missed"
"R_2AFl1MdmMgwJZqB",33,3.5,7,25,61,0,"not_missed"
"R_b3FCbMNwJrz9RAd",59,6.25,4.16666666666667,40,59,0,"not_missed"
"R_1gMSgffdHqtOS76",48,4,3,90,59,0,"not_missed"
"R_1oneuHb6Jf72khK",43,5.25,5,65,56,0,"not_missed"
"R_30iZsdnvjEGHYr3",51,5.25,5.33333333333333,55,54,4,"missed"
"R_zerNYxzFintAgdH",58,4,5.83333333333333,35,51,1,"missed"
"R_5uOCiO87EAdtlcZ",78,3.75,5.83333333333333,45,48,2,"missed"
"R_Ry5lOsHzz4X77t7",42,4,4.83333333333333,40,46,0,"not_missed"
"R_2aJpGYS3za0pilx",38,4,5.16666666666667,75,45,0,"not_missed"
"R_25WyIFCWK5nBSkW",33,4.5,4.83333333333333,55,88,0,"not_missed"
"R_2uOoQKPqi7GfAwY",65,5.25,5.5,60,90,0,"not_missed"
"R_2rTRNFJQs7xEeFR",39,5.75,5.66666666666667,60,87,0,"not_missed"
"R_2rTxacxEtEXMo9f",41,6,3.16666666666667,65,81,1,"missed"
"R_2ygaYup6FB8Oq4W",57,2.75,4.5,35,111,0,"not_missed"
"R_1Lb8LH2PojIYHqG",41,5.5,4.83333333333333,55,106,0,"not_missed"
"R_3D6cmFEXfSWNM64",42,4.5,6.16666666666667,30,107,0,"not_missed"
"R_22WEbiwtv2kMKZz",49,4.5,4.5,60,92,0,"not_missed"
"R_2waSt7K5Uwkyq0i",34,3.75,2.83333333333333,75,80,1,"missed"
"R_33st1Y6YwL6IWpB",67,5.5,3.66666666666667,5,79,3,"missed"
"R_2rpFZEmMqXj4d54",42,4,5,85,79,6,"missed"
"R_1FQvT5vaz4FOOwN",39,5.25,5.5,40,77,2,"missed"
"R_2YLoKGcFfa6DDuX",51,7,6.16666666666667,30,78,2,"missed"
"R_2YmjihoHyjr5PcN",49,7,4.33333333333333,40,77,1,"missed"
"R_ZwwvSbuD96oA3gl",33,5.5,4.33333333333333,85,74,1,"missed"
"R_29bRUkqvREbDedW",40,2.75,5.66666666666667,50,74,2,"missed"
"R_2Qg0gfokgRMMJih",75,5.5,6,45,69,0,"not_missed"
"R_sOwPX8r261NzebD",54,3.25,5.83333333333333,45,69,0,"not_missed"
"R_3Ge5LiBsAVBXc6h",71,4.5,5,60,68,0,"not_missed"
"R_2YslIpv8Zf6XewJ",50,4,7,30,68,1,"missed"
"R_25ToGeCncmQaVd5",50,2.5,6.83333333333333,30,68,2,"missed"
"R_DjxumY7LrV9LJ1T",45,3.5,4.16666666666667,40,68,0,"not_missed"
"R_1HcmhAZnMV6swLq",61,3.5,4,65,68,0,"not_missed"
"R_1GPsmRGswveIHZF",51,4,5.5,20,66,3,"missed"
"R_1hyvkA9RpuFNCZY",38,4.25,5.16666666666667,40,33,0,"not_missed"
"R_3HzwV9jpEfgVCmw",49,4,6.16666666666667,55,28,0,"not_missed"
"R_1rIbtWpIjDHiPKW",33,3.75,2.33333333333333,50,71,1,"missed"
"R_32SiHvtQ4qTnQCm",63,4,7,0,66,1,"missed"
